,proper_name,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,year,gender,party_group,government,age,speeches_count
0,Adam Afriyie,1,2,2,0,1,2,5,3,2017,Male,Conservative,True,51.0,16
16,Adam Holloway,1,1,2,0,0,7,1,0,2017,Male,Conservative,True,52.0,12
28,Adrian Bailey,2,8,0,0,4,1,6,8,2017,Male,Labour,False,71.0,29
57,Afzal Khan,11,9,4,4,1,1,4,3,2017,Male,Labour,False,59.0,37
94,Alan Brown,20,40,26,10,16,19,48,35,2017,Male,SNP,False,46.0,214
308,Alan Campbell,0,0,2,0,0,0,2,0,2017,Male,Labour,False,59.0,4
312,Alan Duncan,26,42,31,0,18,20,20,1,2017,Male,Conservative,True,59.0,158
470,Alan Haselhurst,0,0,1,0,0,6,5,1,2017,Male,Conservative,True,79.0,13
483,Alan Johnson,1,0,0,0,0,0,0,0,2017,Male,Labour,False,66.0,1
484,Alan Mak,7,3,2,0,3,1,26,5,2017,Male,Conservative,True,33.0,47
531,Alan Whitehead,1,0,2,1,4,2,13,2,2017,Male,Labour,False,66.0,25
556,Alasdair McDonnell,3,10,4,0,0,4,1,0,2017,Male,Other,False,67.0,22
578,Albert Owen,5,17,17,1,8,6,12,0,2017,Male,Labour,False,57.0,66
644,Alberto Costa,4,10,2,0,2,5,4,2,2017,Male,Conservative,True,45.0,29
673,Alec Shelbrooke,7,5,4,2,2,8,4,1,2017,Male,Conservative,True,41.0,33
706,Alex Burghart,11,3,12,6,5,11,11,16,2017,Male,Conservative,True,39.0,75
781,Alex Chalk,19,21,9,5,11,19,9,28,2017,Male,Conservative,True,40.0,121
902,Alex Cunningham,13,9,4,17,4,11,9,17,2017,Male,Labour,False,61.0,84
986,Alex Norris,7,3,2,1,1,5,7,5,2017,Male,Labour,False,33.0,31
1017,Alex Salmond,10,35,29,0,9,5,0,4,2017,Male,SNP,False,62.0,92
1109,Alex Sobel,3,6,3,4,1,3,4,5,2017,Male,Labour,False,42.0,29
1138,Alison McGovern,16,15,12,1,2,10,8,19,2017,Female,Labour,False,36.0,83
1221,Alison Thewliss,34,18,11,18,15,18,10,15,2017,Female,SNP,False,34.0,139
1360,Alistair Burt,149,50,41,0,37,10,5,1,2017,Male,Conservative,True,61.0,293
1653,Alistair Carmichael,6,16,28,5,11,2,17,6,2017,Male,Liberal Democrat,False,51.0,91
1744,Alister Jack,0,8,0,1,2,1,2,3,2017,Male,Conservative,True,54.0,17
1761,Alok Sharma,35,2,10,1,100,13,15,26,2017,Male,Conservative,True,49.0,202
1963,Alun Cairns,1,53,1,2,14,1,50,6,2017,Male,Conservative,True,46.0,128
2091,Amanda Milling,10,4,4,1,8,8,37,8,2017,Female,Conservative,True,41.0,80
2171,Amanda Solloway,10,2,1,0,2,5,7,1,2017,Female,Conservative,True,55.0,28
2199,Amber Rudd,98,24,33,2,117,32,11,14,2017,Female,Conservative,True,53.0,331
2530,Andrea Jenkyns,0,1,0,0,0,1,1,2,2017,Female,Conservative,True,42.0,5
2535,Andrea Leadsom,61,35,220,11,335,83,145,69,2017,Female,Conservative,True,53.0,959
3494,Andrew Bingham,0,1,0,1,0,6,8,1,2017,Male,Conservative,True,54.0,17
3511,Andrew Bowie,7,12,5,3,2,8,12,2,2017,Male,Conservative,True,30.0,51
3562,Andrew Bridgen,7,11,8,6,7,4,12,9,2017,Male,Conservative,True,52.0,64
3626,Andrew Griffiths,0,0,0,0,0,1,0,0,2017,Male,Conservative,True,47.0,1
3627,Andrew Gwynne,4,1,9,0,10,4,3,15,2017,Male,Labour,False,42.0,46
3673,Andrew Jones,2,1,14,2,42,3,78,11,2017,Male,Conservative,True,53.0,153
3826,Andrew Lewer,0,2,0,0,0,2,3,1,2017,Male,Conservative,True,46.0,8
3834,Andrew Mitchell,24,2,9,0,2,3,1,5,2017,Male,Conservative,True,60.0,46
3880,Andrew Murrison,6,24,13,3,21,19,7,21,2017,Male,Conservative,True,55.0,114
3994,Andrew Percy,7,9,8,0,14,13,24,5,2017,Male,Conservative,True,39.0,80
4074,Andrew Rosindell,4,5,0,0,0,2,3,2,2017,Male,Conservative,True,50.0,16
4090,Andrew Selous,21,3,5,3,9,10,13,20,2017,Male,Conservative,True,54.0,84
4174,Andrew Smith,0,0,0,0,0,1,0,0,2017,Male,Labour,False,66.0,1
4175,Andrew Stephenson,9,1,1,1,2,4,15,5,2017,Male,Conservative,True,35.0,38
4213,Andrew Turner,3,3,2,0,3,2,7,0,2017,Male,Conservative,True,63.0,20
4233,Andrew Tyrie,2,13,2,0,2,0,0,7,2017,Male,Conservative,True,60.0,26
4259,Andy Burnham,2,2,13,4,13,20,14,14,2017,Male,Labour,False,47.0,82
4341,Andy McDonald,5,2,11,2,17,3,28,3,2017,Male,Labour,False,58.0,71
4412,Andy Slaughter,13,9,12,3,17,25,4,11,2017,Male,Labour,False,56.0,94
4506,Angela Crawley,3,4,2,6,1,3,0,2,2017,Female,SNP,False,29.0,21
4527,Angela Eagle,4,18,7,9,7,7,4,20,2017,Female,Labour,False,55.0,76
